case_type,people_total_tested_count,cases,difference,date,combined_key,country_region,province_state,admin2,iso2,iso3,fips,lat,long,population_count,people_hospitalized_cumulative_count,data_source,prep_flow_runtime
Deaths,,19,0,2020-04-07,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,0,0,2020-01-30,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,0,0,2020-02-06,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,2,0,2020-02-29,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-11,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-29,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,1804,43,2020-04-13,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,2,0,2020-02-24,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-23,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,733,130,2020-04-01,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-10,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,2,0,2020-02-14,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-14,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,2012,82,2020-04-16,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,155,28,2020-03-22,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,1454,50,2020-04-08,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-17,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,111,0,2020-04-26,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
